L,n_colors,NT,n_c,n_c_err,rho,k,Nsamples,source
512,4,50,0.0,0.0,0.17952,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.7952e-01/data/process_names.txt
512,4,50,0.0,0.0,0.18592,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.8592e-01/data/process_names.txt
512,4,50,0.0,0.0,0.19233,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.9233e-01/data/process_names.txt
512,4,50,0.0,0.0,0.19874,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.9874e-01/data/process_names.txt
512,4,50,0.0,0.0,0.20515,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.0515e-01/data/process_names.txt
512,4,50,0.0,0.0,0.21155,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.1155e-01/data/process_names.txt
512,4,50,0.0,0.0,0.21796,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.1796e-01/data/process_names.txt
512,4,50,0.0,0.0,0.22437,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.2437e-01/data/process_names.txt
512,4,50,0.0,0.0,0.23078,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.3078e-01/data/process_names.txt
512,4,50,0.0,0.0,0.23718,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.3718e-01/data/process_names.txt
512,4,50,0.0,0.0,0.24359,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.4359e-01/data/process_names.txt
512,4,50,0.0,0.0,0.25,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.5000e-01/data/process_names.txt
1024,4,100,3.698,0.02131902910556688,0.0001,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.0000e-04/data/process_names.txt
1024,4,100,3.472,0.02440539379917861,0.0065077,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_6.5077e-03/data/process_names.txt
1024,4,100,3.208,0.026436144565328695,0.012915,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.2915e-02/data/process_names.txt
1024,4,100,2.742,0.028007871782117378,0.019323,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.9323e-02/data/process_names.txt
1024,4,100,2.206,0.029408463329981416,0.025731,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_2.5731e-02/data/process_names.txt
1024,4,100,1.434,0.030808868410662063,0.032138,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_3.2138e-02/data/process_names.txt
1024,4,100,0.588,0.02649369418679333,0.038546,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_3.8546e-02/data/process_names.txt
1024,4,100,0.05,0.010159055705411368,0.044954,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_4.4954e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.051362,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_5.1362e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.057769,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_5.7769e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.064177,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_6.4177e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.070585,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_7.0585e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.076992,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_7.6992e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.0834,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_8.3400e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.089808,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_8.9808e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.096215,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_9.6215e-02/data/process_names.txt
1024,4,100,0.0,0.0,0.10262,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.0262e-01/data/process_names.txt
1024,4,100,0.0,0.0,0.10903,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.0903e-01/data/process_names.txt
1024,4,100,0.0,0.0,0.11544,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.1544e-01/data/process_names.txt
1024,4,100,0.0,0.0,0.12185,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.2185e-01/data/process_names.txt
1024,4,100,0.0,0.0,0.12825,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.2825e-01/data/process_names.txt
1024,4,100,0.0,0.0,0.13466,0.0002,500,../Data/bond_percolation/num_colors_4/dim_2/L_1024/NT_constant/NT_100/k_2.0e-04/rho_1.3466e-01/data/process_names.txt
