t,pt_1
0,1
1,0.99931
2,0.99723
3,0.99415
4,0.99029
5,0.98573
6,0.98067
7,0.9752
8,0.96936
9,0.96324
10,0.95692
11,0.95044
12,0.9438
13,0.93712
14,0.93032
15,0.92362
16,0.91671
17,0.90997
18,0.90332
19,0.89653
20,0.88987
21,0.88335
22,0.87688
23,0.8704
24,0.8639
25,0.85757
26,0.8514
27,0.84537
28,0.83947
29,0.83368
30,0.82795
31,0.8223
32,0.81646
33,0.81091
34,0.80535
35,0.79999
36,0.79491
37,0.7899
38,0.78496
39,0.78002
40,0.77524
41,0.77052
42,0.76582
43,0.7612
44,0.75668
45,0.75232
46,0.74792
47,0.74347
48,0.739
49,0.73471
50,0.73052
51,0.7264
52,0.72274
53,0.71935
54,0.71614
55,0.71299
56,0.70995
57,0.70665
58,0.70331
59,0.69992
60,0.69656
61,0.69303
62,0.68943
63,0.68595
64,0.6824
65,0.6792
66,0.67635
67,0.67325
68,0.67027
69,0.66729
70,0.66468
71,0.66199
72,0.65956
73,0.65734
74,0.65529
75,0.65341
76,0.65157
77,0.64977
78,0.64774
79,0.64596
80,0.64394
81,0.64218
82,0.64033
83,0.63852
84,0.63659
85,0.63459
86,0.63262
87,0.63101
88,0.62938
89,0.62756
90,0.62586
91,0.62439
92,0.62294
93,0.62148
94,0.62017
95,0.61876
96,0.61742
97,0.61604
98,0.61495
99,0.6139
100,0.61284
101,0.61181
102,0.61104
103,0.61024
104,0.60953
105,0.60886
106,0.6081
107,0.6074
108,0.60682
109,0.60624
110,0.6057
111,0.60522
112,0.60467
113,0.60398
114,0.60347
115,0.60288
116,0.60231
117,0.60156
118,0.60098
119,0.60031
120,0.5999
121,0.5996
122,0.59923
123,0.59913
124,0.59881
125,0.59853
126,0.59832
127,0.59812
128,0.59799
129,0.59744
130,0.59701
131,0.59654
132,0.59609
133,0.59583
134,0.59571
135,0.59545
136,0.5953
137,0.59531
138,0.59529
139,0.59522
140,0.5951
141,0.59499
142,0.5951
143,0.59524
144,0.59536
145,0.59558
146,0.59568
147,0.59564
148,0.59576
149,0.59573
150,0.59581
151,0.59585
152,0.59577
153,0.5956
154,0.59539
155,0.59557
156,0.596
157,0.5964
158,0.5966
159,0.59662
160,0.59646
161,0.59626
162,0.59611
163,0.59598
164,0.5959
165,0.59594
166,0.59597
167,0.5961
168,0.59635
169,0.59643
170,0.59648
171,0.59649
172,0.59664
173,0.59671
174,0.59666
175,0.59667
176,0.5968
177,0.59705
178,0.59749
179,0.59799
180,0.59869
181,0.59932
182,0.59987
183,0.60042
184,0.60108
185,0.60161
186,0.60226
187,0.60294
188,0.6037
189,0.60435
190,0.60505
191,0.60572
192,0.60642
193,0.60711
194,0.60763
195,0.6081
196,0.60849
197,0.60881
198,0.60919
199,0.60949
200,0.60974
201,0.61009
202,0.61043
203,0.61078
204,0.61098
205,0.61109
206,0.61131
207,0.61145
208,0.61171
209,0.61198
210,0.61226
211,0.61252
212,0.61274
213,0.61297
214,0.61333
215,0.61364
216,0.6141
217,0.61454
218,0.61496
219,0.61529
220,0.61551
221,0.61569
222,0.61583
223,0.61611
224,0.61627
225,0.6163
226,0.6164
227,0.61665
228,0.61682
229,0.61684
230,0.61684
231,0.6168
232,0.61687
233,0.61686
234,0.6168
235,0.6167
236,0.6167
237,0.61662
238,0.61649
239,0.61649
240,0.61665
241,0.61662
242,0.61657
243,0.61634
244,0.61619
245,0.61588
246,0.61561
247,0.61528
248,0.61481
249,0.61423
250,0.61347
251,0.61285
252,0.61201
253,0.61112
254,0.6103
255,0.60953
256,0.60875
257,0.60786
258,0.60691
259,0.60581
260,0.60479
261,0.60382
262,0.60291
263,0.60196
264,0.60112
265,0.60012
266,0.59912
267,0.59815
268,0.59751
269,0.59675
270,0.59618
271,0.59567
272,0.59522
273,0.59472
274,0.59435
275,0.59394
276,0.59348
277,0.59313
278,0.59296
279,0.59277
280,0.59259
281,0.59242
282,0.59208
283,0.5918
284,0.59162
285,0.5916
286,0.59161
287,0.59167
288,0.5916
289,0.59158
290,0.5916
291,0.59162
292,0.59156
293,0.59159
294,0.59159
295,0.59156
296,0.59149
297,0.59149
298,0.59155
299,0.59168
300,0.5918
301,0.59185
302,0.59202
303,0.59206
304,0.59236
