t,Nt_1
798,160
799,148
800,146
801,146
802,142
803,148
804,136
805,124
806,140
807,130
808,131
809,144
810,144
811,135
812,120
813,140
814,142
815,139
816,142
817,156
818,152
819,146
820,156
821,163
822,170
823,160
824,149
825,157
826,158
827,157
828,151
829,165
830,156
831,154
832,153
833,143
834,153
835,151
836,133
837,118
838,140
839,148
840,154
841,158
842,173
843,196
844,195
845,199
846,204
847,200
848,212
849,200
850,205
851,210
852,205
853,209
854,216
855,215
856,218
857,225
858,221
859,212
860,205
861,194
862,211
863,221
864,215
865,209
866,195
867,183
868,192
869,201
870,214
871,214
872,205
873,210
874,188
875,201
876,215
877,246
878,272
879,260
880,240
881,227
882,209
883,228
884,222
885,218
886,209
887,211
888,208
889,211
890,223
891,219
892,227
893,244
894,230
895,219
896,229
897,238
898,206
899,210
900,195
901,182
902,170
903,164
904,168
905,159
906,168
907,183
908,173
909,164
910,174
911,195
912,180
913,181
914,189
915,185
916,208
917,204
918,214
919,213
920,191
921,186
922,180
923,181
924,189
925,196
926,216
927,209
928,200
929,198
930,220
931,204
932,198
933,191
934,169
935,166
936,191
937,201
938,208
939,204
940,208
941,210
942,228
943,219
944,201
945,203
946,216
947,210
948,199
949,209
950,217
951,223
952,224
953,220
954,198
955,199
956,216
957,215
958,209
959,231
960,227
961,239
962,249
963,249
964,249
965,251
966,264
967,271
968,246
969,240
970,237
971,241
972,256
973,252
974,219
975,236
976,241
977,210
978,204
979,206
980,216
981,214
982,206
983,224
984,229
985,227
986,210
987,216
988,208
989,215
990,232
991,239
992,210
993,191
994,191
995,194
996,203
997,204
998,218
999,212
